iter	RMSE
0	1.501703781
1	1.364146097
2	1.2331817
3	1.115860963
4	1.009983564
5	0.9141705039
6	0.8280640915
7	0.7500206626
8	0.6807433113
9	0.6162718375
10	0.5581762312
11	0.5059666058
12	0.4592847226
13	0.4162356597
14	0.3795779736
15	0.3468814504
16	0.3176312183
17	0.2902719358
18	0.2668478853
19	0.2456523346
20	0.2246794785
21	0.206287677
22	0.1906286986
23	0.1756281157
24	0.1618021255
25	0.1496901186
26	0.1390061752
27	0.1300977289
28	0.1215410998
29	0.1148275429
30	0.1071459309
31	0.1005134492
32	0.09414483491
33	0.08890889839
34	0.0840413711
35	0.08091014997
36	0.07819133289
37	0.07446848722
38	0.07208360617
39	0.06910593273
40	0.06628089156
41	0.06385085091
42	0.06181329607
43	0.06012026828
44	0.05853178277
45	0.05723373207
46	0.05628415641
47	0.0550611272
48	0.05373032612
49	0.05270634698
50	0.05135954946
51	0.05011371071
52	0.04988874038
53	0.04926224229
54	0.0482583804
55	0.04748519467
56	0.04670493369
57	0.0458759765
58	0.04565473262
59	0.04495619359
60	0.04446834535
61	0.04364363306
62	0.04314916493
63	0.04294379007
64	0.04253854526
65	0.04201106672
66	0.0415009777
67	0.04117964772
68	0.04103716988
69	0.04063746682
70	0.0403570677
71	0.03997765914
72	0.03927476961
73	0.03896349703
74	0.03859182831
75	0.03846626829
76	0.03816229333
77	0.03783924476
78	0.0375702234
79	0.03747314556
80	0.03735158278
81	0.03694092218
82	0.03665506306
83	0.03648365854
84	0.03609011822
85	0.03599459184
86	0.03570318519
87	0.03531329463
88	0.03516686605
89	0.03495947078
90	0.03484238856
91	0.0344868266
92	0.03438465467
93	0.03436046222
94	0.03424655646
95	0.03414685945
96	0.03363137209
97	0.03297217346
98	0.0327592508
99	0.0326624734
100	0.03237841092
101	0.03213001027
102	0.03203714032
103	0.03202515172
104	0.03145047856
105	0.03119949611
106	0.03104911042
107	0.03098797652
108	0.03058207551
109	0.03037706172
110	0.03016119468
111	0.0300627871
112	0.02952928564
113	0.02940384179
114	0.02929370417
115	0.02913822464
116	0.02884163722
117	0.02883256538
118	0.02861791441
119	0.0286092362
120	0.02844587627
121	0.02808856341
122	0.02767200163
123	0.02728384506
124	0.02693569487
125	0.02676777128
126	0.02652141972
127	0.0265055961
128	0.02643089006
129	0.02596545071
130	0.02590917468
131	0.02573928061
132	0.02564549015
133	0.02551992932
134	0.02530369007
135	0.02525196258
136	0.02495308394
137	0.02475606158
138	0.02466382144
139	0.02429493514
140	0.02392534443
141	0.02375610118
142	0.02357116403
143	0.0234604112
144	0.02343088583
145	0.02331836635
146	0.02326512668
147	0.02311870253
