iter	Passed	Remaining
414	2915	32213
415	2922	32202
416	2929	32194
417	2936	32191
418	2943	32182
419	2950	32171
420	2956	32157
421	2963	32146
422	2969	32133
423	2976	32120
424	2982	32107
425	2989	32093
426	2995	32080
427	3001	32066
428	3008	32053
429	3014	32039
430	3021	32030
431	3031	32056
432	3052	32194
433	3060	32203
434	3067	32192
435	3075	32190
436	3081	32178
437	3088	32167
438	3094	32153
439	3101	32142
440	3107	32128
441	3114	32114
442	3120	32100
443	3127	32088
444	3133	32075
445	3139	32061
446	3146	32053
447	3153	32039
448	3160	32033
449	3167	32022
450	3173	32014
451	3180	32001
452	3187	31989
453	3193	31981
454	3200	31967
455	3208	31974
456	3216	31971
457	3223	31972
458	3230	31964
459	3238	31964
460	3246	31963
461	3253	31959
462	3260	31946
463	3266	31934
464	3273	31922
465	3280	31916
466	3286	31902
467	3293	31895
468	3300	31884
469	3306	31873
470	3313	31861
471	3320	31856
472	3327	31849
473	3334	31844
474	3341	31835
475	3348	31828
476	3355	31820
477	3362	31807
478	3369	31798
479	3375	31785
480	3382	31776
481	3388	31763
482	3395	31751
483	3402	31749
484	3409	31738
485	3415	31724
486	3422	31711
487	3428	31702
488	3435	31689
489	3441	31679
490	3448	31668
491	3454	31655
492	3461	31647
493	3468	31637
494	3475	31626
495	3481	31617
496	3488	31606
497	3495	31595
498	3501	31584
499	3508	31573
500	3514	31560
501	3520	31547
502	3527	31536
503	3534	31529
504	3540	31518
505	3547	31507
506	3554	31495
507	3560	31483
508	3567	31477
509	3574	31467
510	3581	31461
511	3587	31448
512	3594	31439
513	3601	31428
514	3607	31417
515	3614	31411
516	3621	31399
517	3627	31390
518	3634	31378
519	3641	31371
520	3647	31360
521	3654	31348
522	3660	31337
523	3667	31325
524	3673	31314
525	3680	31301
526	3686	31291
527	3693	31280
528	3700	31273
529	3708	31275
530	3716	31278
531	3723	31269
532	3731	31277
533	3739	31277
534	3747	31272
535	3753	31261
536	3760	31253
537	3767	31243
538	3773	31233
539	3780	31226
540	3787	31215
541	3794	31210
542	3800	31198
543	3807	31187
544	3813	31176
545	3820	31164
546	3827	31155
547	3833	31143
548	3842	31150
549	3849	31146
550	3856	31135
551	3862	31124
552	3869	31113
553	3875	31103
554	3882	31094
555	3889	31086
556	3895	31076
557	3902	31066
558	3908	31055
559	3915	31046
560	3922	31035
561	3928	31024
562	3935	31013
563	3941	31001
564	3948	30990
565	3954	30979
566	3960	30967
567	3967	30956
568	3974	30947
569	3980	30936
570	3987	30927
571	3994	30921
572	4000	30910
573	4007	30902
574	4014	30892
575	4020	30883
576	4027	30871
577	4033	30860
578	4041	30855
579	4047	30844
580	4054	30838
581	4061	30827
582	4067	30817
